,Restaurant Name,Category,Rating,Price,Address,Restaurant Detail Link
95,Restoran Sederhana SA,Tegalsari | Indonesia,4.48 /5,Di bawah Rp. 50.000 /orang,"Jl. Kombes Pol. M. Duryat No. 19 - 21, Tegalsari, Surabaya",/restaurants/surabaya/restoran-sederhana-sa-tegalsari
96,Bakmi GM,Dukuh Pakis | Indonesia,4.02 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/bakmi-gm-dukuh-pakis
97,The Gallery - Hotel Ciputra World,"Dukuh Pakis | Indonesia,Barat,Jepang",4.65 /5,Di atas Rp. 200.000 /orang,"Jl. Mayjen Sungkono No. 87, Dukuh Pakis, Surabaya",/restaurants/surabaya/the-gallery-hotel-ciputra-world-dukuh-pakis
98,Aps3 Social Hub - Kampi Hotel,Genteng | Kafe,4.24 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Taman Apsari No. 3 - 5, Genteng, Surabaya",/restaurants/surabaya/aps3-social-hub-kampi-hotel-genteng
99,Jamoo - Hotel Shangri-La Surabaya,Dukuh Pakis | Indonesia,4.87 /5,Di atas Rp. 200.000 /orang,"Jl. Mayjen Sungkono No. 120, Dukuh Pakis, Surabaya",/restaurants/surabaya/jamoo-hotel-shangri-la-surabaya-dukuh-pakis-2
100,Zangrandi Ice Cream,Genteng | Kafe,4.02 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Yos Sudarso No. 15, Genteng, Surabaya",/restaurants/surabaya/zangrandi-ice-cream-genteng
101,Pancious,Dukuh Pakis | Italia,4.07 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Mayjend Sungkono No. 87, Dukuh Pakis, Surabaya",/restaurants/surabaya/pancious-dukuh-pakis
102,Starbucks,Tegalsari | Kafe,4.15 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/starbucks-tegalsari-3
103,Nyah Tewel,Sambikerep | Indonesia,4.12 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puri Widya Kencana Blok J1 No. 28, Sambikerep, Surabaya",/restaurants/surabaya/nyah-tewel-sambikerep
104,The People's Cafe,Tegalsari | Kafe,4.09 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/the-people-s-cafe-tegalsari
105,DS Bistro,Sambikerep | Barat,4.30 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",/restaurants/surabaya/ds-bistro-sambikerep
106,Steak 21,Tegalsari | Barat,4.04 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/steak-21-tegalsari
107,Nam Heong,Wiyung | China,4.13 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/nam-heong-wiyung
108,Tetsujin,Tegalsari | Jepang,4.07 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Pregolan No. 17, Tegalsari, Surabaya",/restaurants/surabaya/tetsujin-tegalsari
109,Soto Kudus Kedai Taman,Gayungan | Indonesia,4.03 /5,Di bawah Rp. 50.000 /orang,"Jl. Gayungsari Timur No. 7, Gayungan, Surabaya",/restaurants/surabaya/soto-kudus-kedai-taman-gayungan
110,Haagen - Dazs,Mulyorejo | Es Krim,4.22 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",/restaurants/surabaya/haagen-dazs-mulyorejo-1
111,De Mandailing Cafe N Eatery,Sukomanunggal | Kafe,4.02 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Bukit Darmo Golf No. 1G, Sukomanunggal, Surabaya",/restaurants/surabaya/de-mandailing-cafe-n-eatery-sukomanunggal
112,Thirty Three Brew,Wonokromo | Kafe,4.12 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Opak No. 45, Wonokromo, Surabaya",/restaurants/surabaya/thirty-three-brew-wonokromo
113,Brain Coffee,Wonokromo | Kafe,4.37 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Wonokromo Tangkis No. 52, Wonokromo, Surabaya",/restaurants/surabaya/brain-coffee-wonokromo
