,Restaurant Name,Category,Rating,Price Range,Address,Restaurant Detail Link,District
254,Libby Brownies, Kafe,4.14,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Sukomanunggal No. 96, Sukomanunggal, Surabaya",https://pergikuliner.com/restaurants/surabaya/libby-brownies-sukomanunggal,Sukomanunggal
255,Richeese Factory,Wonokromo,4.2,Di bawah Rp. 50.000 /orang,"Jl. Adityawarman No. 65, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/richeese-factory-wonokromo-2,
256,Tea Break, Minuman,4.13,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 288, Gayungan, Surabaya",https://pergikuliner.com/restaurants/surabaya/tea-break-gayungan,Gayungan
257,Dapur Cokelat, Toko Kue,4.53,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 317, Wonocolo, Surabaya",https://pergikuliner.com/restaurants/surabaya/dapur-cokelat-wonocolo,Wonocolo
265,Warung Larris, China,4.0,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Darmo Permai Selatan, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/warung-larris-dukuh-pakis,Dukuh Pakis
266,Cincau Station, Minuman,4.0,Di bawah Rp. 50.000 /orang,"Jl. Jend. A. Yani No. 16 - 18, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/cincau-station-wonokromo,Wonokromo
267,Myoung Ga, Korea,4.2,Di bawah Rp. 50.000 /orang,"Jl. HR Muhammad No. 181, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/myoung-ga-dukuh-pakis-2,Dukuh Pakis
268,BurgerUP, Barat,4.2,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/burgerup-dukuh-pakis,Dukuh Pakis
273,OKUI, Kafe,4.28,Di bawah Rp. 50.000 /orang,"Jl. Bawean No. 37, Ngagel, Surabaya",https://pergikuliner.com/restaurants/surabaya/okui-ngagel,Ngagel
274,Old Wood Bistro & Bar, Italia,4.13,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Nias No. 98, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/old-wood-bistro-dan-bar-gubeng,Gubeng
275,Jack & John, Indonesia,4.13,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/jack-dan-john-mulyorejo,Mulyorejo
276,Alura, Kafe,4.3,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Villa Taman Telaga Blok TJ8 No. 8, Lakarsantri, Surabaya",https://pergikuliner.com/restaurants/surabaya/alura-lakarsantri,Lakarsantri
277,Lontong Mie Babah Hoi, Indonesia,4.4,Di bawah Rp. 50.000 /orang,"Jl. Kapas Krampung No. 124H (Belakang BCA), Tambaksari, Surabaya",https://pergikuliner.com/restaurants/surabaya/lontong-mie-babah-hoi-tambaksari,Tambaksari
278,Pho Ba Ba, Vietnam,4.1,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/pho-ba-ba-mulyorejo,Mulyorejo
279,Ejji Coffee Corner, Kafe,4.12,Di bawah Rp. 50.000 /orang,"Jl. Simpang Darmo Permai Utara No. 26, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/ejji-coffee-corner-sambikerep,Sambikerep
280,Go Brothers, Indonesia,4.06,Di bawah Rp. 50.000 /orang,"Jl. Raya Darmo Permai I No. 38, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/go-brothers-dukuh-pakis,Dukuh Pakis
281,Sambal Bakar Indonesia, Indonesia,4.16,Di bawah Rp. 50.000 /orang,"Jl. Niaga Gapura, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/sambal-bakar-indonesia-sambikerep,Sambikerep
282,The Grill Factory, Barat,4.9,Di bawah Rp. 50.000 /orang,"Jl. Mayjen Yono Soewoyo, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/the-grill-factory-dukuh-pakis,Dukuh Pakis
283,HokBen (Hoka Hoka Bento),Mulyorejo,4.1,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/hokben-hoka-hoka-bento-mulyorejo,
284,Hacienda, Meksiko,4.13,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/hacienda-tegalsari,Tegalsari
285,Agung Bakso Reog, Indonesia,4.25,Di bawah Rp. 50.000 /orang,"Jl. Penjaringan Timur No. 22, Rungkut, Surabaya",https://pergikuliner.com/restaurants/surabaya/agung-bakso-reog-rungkut,Rungkut
286,Cheskee Go, Minuman,4.24,Di bawah Rp. 50.000 /orang,"Jl. Klampis Jaya No. 1, Klampis, Surabaya",https://pergikuliner.com/restaurants/surabaya/cheskee-go-klampis,Klampis
287,Ayam Goreng Asli Pemuda, Indonesia,4.3,Di bawah Rp. 50.000 /orang,"Jl. Tidar No. 21, Sawahan, Surabaya",https://pergikuliner.com/restaurants/surabaya/ayam-goreng-asli-pemuda-sawahan,Sawahan
288,Tokyo Resto, China,4.47,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Nginden No. 74, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/tokyo-resto-gubeng-2,Gubeng
289,Gyu Kaku, Jepang,4.1,Di atas Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/gyu-kaku-wiyung,Wiyung
290,Peco Peco Sushi, Jepang,4.02,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Gubeng Pojok No. 1, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/peco-peco-sushi-gubeng,Gubeng
291,MIKOPI, Kafe,4.16,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada No. 108, Gubeng, Surabaya",https://pergikuliner.com/restaurants/surabaya/mikopi-gubeng,Gubeng
292,Bakso Son9o, Indonesia,4.28,Di bawah Rp. 50.000 /orang,"Jl. Taman Gapura Blok F2 No. 9, Sambikerep, Surabaya",https://pergikuliner.com/restaurants/surabaya/bakso-son9o-sambikerep,Sambikerep
293,Meat Shop & Gourmet, Barat,4.06,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Darmo Permai Selatan I No. 93, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/meat-shop-dan-gourmet-dukuh-pakis,Dukuh Pakis
294,Cincau Station, Minuman,4.03,Di bawah Rp. 50.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/cincau-station-tegalsari,Tegalsari
295,Warkop Mie Aceh Narasa, Indonesia,4.06,Di bawah Rp. 50.000 /orang,"Jl. Semolowaru No. 176A, Semolowaru, Surabaya",https://pergikuliner.com/restaurants/surabaya/warkop-mie-aceh-narasa-semolowaru,Semolowaru
296,Indragiri Indonesian Resto, Indonesia,4.8,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Indragiri No. 10, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/indragiri-indonesian-resto-wonokromo,Wonokromo
297,Dose Coffee & Eatery, Kafe,4.35,Di bawah Rp. 50.000 /orang,"Jl. Raya Jemursari No. 59 (Lantai 2), Wonocolo, Surabaya",https://pergikuliner.com/restaurants/surabaya/dose-coffee-dan-eatery-wonocolo,Wonocolo
298,Mie Tokyo, Jepang,4.25,Di bawah Rp. 50.000 /orang,"Jl. HR Muhammad, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/mie-tokyo-dukuh-pakis,Dukuh Pakis
299,Ta Wan, China,4.07,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/ta-wan-mulyorejo,Mulyorejo
